timestamp,run_id,port_ret_gross,port_ret_net,equity_gross,equity_net,turnover,cost,weight_XLE,asset_ret_gross_XLE
2023-05-15 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0007849384165619907,0.0007849384165619907,0.9313313440752643,0.9313313440752643,0.0,0.0,0.2810862643079906,0.0007849384165619907
2023-05-16 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0033407603454005397,0.0033407603454005397,0.9344426988979795,0.9344426988979795,0.0,0.0,1.0,0.0033407603454005397
2023-05-17 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.005921148541577565,-0.005921148541577565,0.928909724874212,0.928909724874212,0.0,0.0,0.2810862643079906,-0.005921148541577565
2023-05-18 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0032523396107852513,0.0032523396107852513,0.931930854767264,0.931930854767264,0.0,0.0,0.2810862643079906,0.0032523396107852513
2023-05-19 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0006302385248106551,0.0006302385248106551,0.9325181934943981,0.9325181934943981,0.0,0.0,0.2810862643079906,0.0006302385248106551
2023-05-22 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.004682278134060656,0.004682278134060656,0.9368845030414108,0.9368845030414108,0.0,0.0,0.2810862643079906,0.004682278134060656
2023-05-23 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.003847215517424285,0.003847215517424285,0.9404888996395461,0.9404888996395461,0.0,0.0,1.0,0.003847215517424285
2023-05-24 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0029907155163811255,0.0029907155163811255,0.9433016343846823,0.9433016343846823,0.0,0.0,0.2810862643079906,0.0029907155163811255
2023-05-25 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0008378136286404723,0.0008378136286404723,0.9440919453498886,0.9440919453498886,0.0,0.0,0.2810862643079906,0.0008378136286404723
2023-05-26 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.008571073433442529,-0.008571073433442529,0.9360000639583731,0.9360000639583731,0.0,0.0,0.2810862643079906,-0.008571073433442529
2023-05-30 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,7.8395277124499e-05,7.8395277124499e-05,0.9360734419427758,0.9360734419427758,0.0,0.0,0.2810862643079906,7.8395277124499e-05
2023-05-31 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0033908980069215777,-0.0033908980069215777,0.9328993123741598,0.9328993123741598,0.0,0.0,0.2810862643079906,-0.0033908980069215777
2023-06-01 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0016097079282704533,-0.0016097079282704533,0.9313976169547531,0.9313976169547531,0.0,0.0,0.1492777834847329,-0.0016097079282704533
2023-06-02 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0020724547038835682,0.0020724547038835682,0.9333278963271968,0.9333278963271968,0.0,0.0,0.1492777834847329,0.0020724547038835682
2023-06-05 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0033229593230917876,0.0033229593230917876,0.9364293069617988,0.9364293069617988,0.0,0.0,0.1492777834847329,0.0033229593230917876
2023-06-06 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.00016422200059399648,0.00016422200059399648,0.9365830892560029,0.9365830892560029,0.0,0.0,0.1492777834847329,0.00016422200059399648
2023-06-07 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0005496015527186593,0.0005496015527186593,0.937097836776108,0.937097836776108,0.0,0.0,1.0,0.0005496015527186593
2023-06-08 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.004165409543927482,0.004165409543927482,0.941001233049009,0.941001233049009,0.0,0.0,0.1492777834847329,0.004165409543927482
2023-06-09 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0024933830147547864,-0.0024933830147547864,0.9386549565576613,0.9386549565576613,0.0,0.0,0.1492777834847329,-0.0024933830147547864
2023-06-12 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0014929920338923146,0.0014929920338923146,0.9400563609303755,0.9400563609303755,0.0,0.0,0.1492777834847329,0.0014929920338923146
2023-06-13 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.001817773850308011,-0.001817773850308011,0.9383475510596605,0.9383475510596605,0.0,0.0,0.1492777834847329,-0.001817773850308011
2023-06-14 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.00233881376318083,0.00233881376318083,0.9405421712267258,0.9405421712267258,0.0,0.0,0.1492777834847329,0.00233881376318083
2023-06-15 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0025421618173537223,-0.0025421618173537223,0.9381511608314222,0.9381511608314222,0.0,0.0,0.1492777834847329,-0.0025421618173537223
2023-06-16 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0018604353620711824,0.0018604353620711824,0.9398965304260012,0.9398965304260012,0.0,0.0,0.1492777834847329,0.0018604353620711824
2023-06-20 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.005941146289908161,-0.005941146289908161,0.9343124676413632,0.9343124676413632,0.0,0.0,1.0,-0.005941146289908161
2023-06-21 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.00401594979166011,-0.00401594979166011,0.9305603156815935,0.9305603156815935,0.0,0.0,0.1492777834847329,-0.00401594979166011
2023-06-22 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.003001692706736961,0.003001692706736961,0.9333535717943537,0.9333535717943537,0.0,0.0,0.1492777834847329,0.003001692706736961
2023-06-23 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.003043233762656842,-0.003043233762656842,0.9305131586921729,0.9305131586921729,0.0,0.0,0.1492777834847329,-0.003043233762656842
